Experiment,IAF,Index,Value
0,Initial,66,6.0
0,Initial,35,0.0309
0,Initial,4,1.9
0,Initial,7,0.081
0,Initial,43,2.7
0,Initial,46,5.05
0,Initial,18,0.0808
0,Initial,84,0.38
0,Initial,86,0.1195
0,Initial,30,0.0913
